1572 MEMORY LEAK DETECTED!
At address (000001F61DAB1DE0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1E70), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1F00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1F90), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2020), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB20B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2140), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB21D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2260), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB22F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2380), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2410), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB24A0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2530), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F61DAB25C0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2650), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2770), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2800), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2890), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2920), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB29B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2A40), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2AD0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2B60), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2BF0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2C80), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB2D10), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB2E30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB2EF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB2FB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3070), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB31F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB32B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3430), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB34F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB35B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3670), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB37F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB38B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3970), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3A30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3AF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3BB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3C70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3D30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3DF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3EB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB3F70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB40F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB41B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4270), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4330), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB43F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB44B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4630), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB46F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB47B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4930), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB49F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4AB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4B70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4C30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F61DAB4CF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
