13953 MEMORY LEAK DETECTED!
At address (000001679861A960), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861A9C0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861AA20), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861AA80), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861AB40), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861ABA0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861AC00), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861AC60), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861ACC0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861ADE0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861AE40), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861AF00), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861AF60), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861AFC0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861B020), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861B080), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861B140), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861B230), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B2F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B3B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B470), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B530), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B5F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B6B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001679861B770), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
